Id,Time[ns],0:I²C: Address/Data
250,118691280.00,ACK
251,118692660.00,Data write: 86
252,118701740.00,ACK
253,118703100.00,Data write: 01
254,118712180.00,ACK
255,118713540.00,Data write: 82
256,118722620.00,ACK
257,118723980.00,Data write: 01
258,118733060.00,ACK
259,118734400.00,Data write: 01
260,118743500.00,ACK
261,118744840.00,Data write: 00
262,118753940.00,ACK
263,118755300.00,Data write: 00
264,118764380.00,ACK
265,118765740.00,Data write: 01
266,118774820.00,ACK
267,118776180.00,Data write: 00
268,118785260.00,ACK
269,118787220.00,Stop
270,120676220.00,Start
271,120677500.00,Address read: DF
272,120685400.00,Read
273,120686560.00,ACK
274,120687940.00,Data read: 33
275,120696920.00,ACK
276,120698060.00,Data read: 01
277,120707020.00,ACK
278,120708160.00,Data read: 28
279,120717100.00,ACK
280,120718240.00,Data read: 01
281,120727200.00,ACK
282,120728340.00,Data read: 02
283,120737280.00,ACK
284,120738420.00,Data read: 05
285,120747360.00,ACK
286,120748500.00,Data read: 00
287,120757460.00,ACK
288,120758600.00,Data read: 01
289,120767540.00,ACK
290,120768680.00,Data read: 01
291,120777640.00,ACK
292,120778780.00,Data read: 00
293,120787720.00,ACK
294,120788860.00,Data read: 01
295,120797820.00,ACK
296,120798960.00,Data read: 00
297,120807900.00,ACK
298,120809040.00,Data read: 00
299,120817980.00,ACK
300,120819120.00,Data read: 00
301,120828080.00,NACK
302,120829820.00,Stop
303,120836020.00,Start
304,120837380.00,Address write: DE
305,120845340.00,Write
306,120846500.00,ACK
307,120847880.00,Data write: B8
308,120856960.00,ACK
309,120858320.00,Data write: 01
310,120867400.00,ACK
311,120868740.00,Data write: 82
312,120877840.00,ACK
313,120879180.00,Data write: 03
314,120888280.00,ACK
315,120889620.00,Data write: 21
316,120898700.00,ACK
317,120900060.00,Data write: 06
318,120909140.00,ACK
319,120910480.00,Data write: 00
320,120919580.00,ACK
321,120920940.00,Data write: 01
322,120930020.00,ACK
323,120931380.00,Data write: 0A
324,120940460.00,ACK
325,120941800.00,Data write: 09
326,120950880.00,ACK
327,120952240.00,Data write: 00
328,120961340.00,ACK
329,120962680.00,Data write: 00
330,120971780.00,ACK
331,120973120.00,Data write: 00
332,120982220.00,ACK
333,120983580.00,Data write: 00
334,120992660.00,ACK
335,120994020.00,Data write: 01
336,121003100.00,ACK
337,121005020.00,Stop
338,345671020.00,Start
339,345672320.00,Address read: DF
340,345680220.00,Read
341,345681380.00,ACK
342,345682760.00,Data read: 50
343,345691740.00,ACK
344,345692880.00,Data read: 01
345,345701820.00,ACK
346,345702960.00,Data read: 28
347,345711920.00,ACK
348,345713060.00,Data read: 03
349,345722000.00,ACK
350,345723140.00,Data read: 22
351,345732100.00,ACK
352,345733240.00,Data read: 01
353,345742180.00,ACK
354,345743320.00,Data read: 00
355,345752280.00,ACK
356,345753420.00,Data read: 01
357,345762360.00,ACK
358,345763500.00,Data read: 00
359,345772460.00,ACK
360,345773580.00,Data read: 00
361,345782520.00,NACK
362,345784280.00,Stop
363,345801320.00,Start
364,345802680.00,Address write: DE
365,345810640.00,Write
366,345811800.00,ACK
367,345813180.00,Data write: C4
368,345822260.00,ACK
369,345823620.00,Data write: 01
370,345832700.00,ACK
371,345834060.00,Data write: 82
372,345843140.00,ACK
373,345844480.00,Data write: 03
374,345853580.00,ACK
375,345854920.00,Data write: 01
376,345864020.00,ACK
377,345865360.00,Data write: 44
378,345874440.00,ACK
379,345875800.00,Data write: 00
380,345884880.00,ACK
381,345886240.00,Data write: 01
382,345895320.00,ACK
383,345896680.00,Data write: F8
384,345905740.00,ACK
385,345907100.00,Data write: 00
386,345916180.00,ACK
387,345917540.00,Data write: 00
388,345926640.00,ACK
389,345927980.00,Data write: 00
390,345937080.00,ACK
391,345938420.00,Data write: 01
392,345947520.00,ACK
393,345948860.00,Data write: 00
394,345957960.00,ACK
395,345959300.00,Data write: 40
396,345968400.00,ACK
397,345969740.00,Data write: 00
398,345978840.00,ACK
399,345980200.00,Data write: 20
400,345989280.00,ACK
401,345990620.00,Data write: CD
402,345999700.00,ACK
403,346001040.00,Data write: 82
404,346010120.00,ACK
405,346011480.00,Data write: FF
406,346020540.00,ACK
407,346021880.00,Data write: 1F
408,346030940.00,ACK
409,346032300.00,Data write: C3
410,346041380.00,ACK
